case_number,source,prompt,evaluation_seed
21056,coco-30k,a group of people playing frisbee out side,86724
21057,coco-30k,An assortment of fruits on display at a market place.,40826
21058,coco-30k,A glass of red wine sits beside the bottle for a refill as a piece of cake goes untouched in the back.,93128
21059,coco-30k,"A person on skis flies high in the air, while someone down below takes a picture. ",36407
21060,coco-30k,"A catcher, umpire, and batter playing on a baseball field. ",51413
21061,coco-30k,A man is holding a Frisbee on his row boat.,73904
21062,coco-30k,A man riding a horse with trees and buildings in background.,17831
21063,coco-30k,A man positions one foot on his roller blade and the other in midair.,79587
21064,coco-30k,People watch a horse and carriage ride by them. ,41613
21065,coco-30k,a close up of a pizza on a plate with knives and forks,57828
21066,coco-30k,Vehicles on a road near zebras and gazelle.,56856
21067,coco-30k,A horse stands still attached to a passenger coach. ,97722
21068,coco-30k,The young man is catching a Frisbee over his back.,70769
21069,coco-30k,a close up of a glass of wine on a table,31497
21070,coco-30k,Two people doing a skateboard trick above a concrete set of stairs.,95709
21071,coco-30k,A young man is trying to pull off a skateboarding trick over a large rock. ,10468
21072,coco-30k,An horse without a saddle or bridle faces the camera.,25434
21073,coco-30k,Some type of bread that is cut in half,24695
21074,coco-30k,lemons and limes in baskets in the produce section,22803
21075,coco-30k,"Two bottles of apple cider, an apple and a garnished entree.",21602
21076,coco-30k,A young man in a bathing suit about to catch a Frisbee at the beach,43651
21077,coco-30k,The woman is ready to launch her kayak with her dog.,27264
21078,coco-30k,a mixture of different substances in a big bowl,30230
21079,coco-30k,A couple of animals that are walking around the street.,85211
21080,coco-30k,a person riding a skate board down a hill,38098
21081,coco-30k,a person on skies performing on an obstacle course,66147
21082,coco-30k,a box of apples sits in a marketplace,59811
21083,coco-30k,three zebras mill about in the grass of a wide open plain. ,42119
21084,coco-30k,a pack of zebra underneath a shaded tree ,48622
21085,coco-30k,a woman holds a frisbee in a public park,16516
21086,coco-30k,a woman tosses a frisbee in a public park,31772
21087,coco-30k,A slice of pizza is loaded with pepperoni and resting by itself.,98635
21088,coco-30k,A lone skier makes his way across the snow as he drags a backpack behind him. ,99334
21089,coco-30k,A pasta salad with broccoli and tomatoes. ,93552
21090,coco-30k,a horse drawn carriage with people in the cariage,78489
21091,coco-30k,Square dishes hold main dishes while a banana is place in the back section of a tray.,85498
21092,coco-30k,A boy is soaking wet yet still jumping high for a frisbee catch.,24002
21093,coco-30k,A man and woman are cutting a chocolate heart shaped cake.,54132
21094,coco-30k,a piece of broccoli laying on a couch,65743
21095,coco-30k,A black plate filled with food by a keyboard,32002
21096,coco-30k,A group of three dogs standing on the lawn,39822
21097,coco-30k,A group of young men riding skateboards in a skate park.,63750
21098,coco-30k,A boy does tricks on a scooter. ,59464
21099,coco-30k,a person riding a skate board in front of a brick structure,36176
21100,coco-30k,A boy is sitting on a skateboard on the street.,45272
21101,coco-30k,A man decorated a white frosted cake with chocolate icing.,75333
21102,coco-30k,Italian blood oranges for sale in a market,61122
21103,coco-30k,The stalk of bananas is still very green.,88440
21104,coco-30k,A young man on a skateboard doing tricks,25933
21105,coco-30k,The unnatural looking stance of a professional baseball pitcher,67296
21106,coco-30k,A man throwing a Frisbee in a parkland,41013
21107,coco-30k,Three people standing near a fence and a horse.,90356
21108,coco-30k,A large horse in an enclosed field eating grass,98605
21109,coco-30k,A donkey walks near the edge of a cliff. ,39212
21110,coco-30k,An assortment of ingredients rest both in a bowl and on a surface.,18875
21111,coco-30k,A cooler attached to a sled near some skiers ,48274
21112,coco-30k,A young child riding skis across snow covered ground.,7201
21113,coco-30k,"Two draft horses pulling plow, color, under cloudy skies with trees and other horses in background.",68366
21114,coco-30k,An adult zebra and a younger zebra in Savannah ,15860
21115,coco-30k,A man riding a skateboard up a wooden ramp.,87447
21116,coco-30k,A pretty young lady tossing a blue frisbee.,65478
21117,coco-30k,A group of people walking next to stairs.,39403
21118,coco-30k,A display case in a store filled with apples and oranges.,1243
21119,coco-30k,Two men riding horses at a horse racing track.,69109
21120,coco-30k,A white bowl filled with meat and vegetables.,32543
21121,coco-30k,A man riding up the side of an empty swimming pool on a skateboard.,55403
21122,coco-30k,A skier barrels down a slope while kicking up snow.,42054
21123,coco-30k,A team of young men playing a game of baseball.,4786
21124,coco-30k,"A plate topped with vegetables, meat and fruit.",19707
21125,coco-30k,A snake on the ground next to a  shiny leaf.,59290
21126,coco-30k,Two small dogs on leashes walking on a brick pathway.,45397
21127,coco-30k,A birthday cake with a knife in it,2289
21128,coco-30k,A man on skis doing tricks in the snow,21295
21129,coco-30k,A small herd of giraffe standing next to each other.,42848
21130,coco-30k,A wooden cutting board topped with veggies and a knife.,43959
21131,coco-30k,A white plate topped with food on a counter.,61036
21132,coco-30k,A pile of un ripe bananas sitting on a table on newspaper.,40177
21133,coco-30k,The fruit are arranges on the surface in a brown wicker basket.,38987
21134,coco-30k,A man riding a snowboard across a snow covered slope.,60918
21135,coco-30k,A man riding a skateboard down a set of steps.,23136
21136,coco-30k,There are two zebras grazing side by side.,15115
21137,coco-30k,a little girl hold a bundle of bananas,64953
21138,coco-30k,A man flying through the air while riding a skateboard.,81175
21139,coco-30k,A dog laying on the beach in the sand,90640
21140,coco-30k,Two men riding brown horses down a small road.,23485
21141,coco-30k,"A feast of meat, potatos, and veggies on a plate",52462
21142,coco-30k,A person stands at the bottom of a snowy ski hill.,71978
21143,coco-30k,A couple of men standing next to each other.,52932
21144,coco-30k,A baseball player holding a bat during a game.,84633
21145,coco-30k,A plate with a piece chicken and some broccoli,63267
21146,coco-30k,A cake shaped like a horse with white frosting and decorative candies in different colors.,38473
21147,coco-30k,A young boy riding a skateboard through the air.,61429
21148,coco-30k,A zebra lays in front of another zebra,63854
21149,coco-30k,A person that threw a frisbee in the air.,61818
21150,coco-30k,A horse with blinder and a colorful harness in the woods,10259
21151,coco-30k,A young woman leaning on a ski pole as she puts on her skis,64327
21152,coco-30k,A young man tossing a frisbee in a  forest.,75706
21153,coco-30k,Two small brown and black dogs standing next to each other.,19346
21154,coco-30k,Group of snowboarders on a snowy trail overlooking a mountain. ,97106
21155,coco-30k,Small skateboarder taking a jump on top of his board. ,4525
21156,coco-30k,The vegetable are laid out neatly at the table.,88563
21157,coco-30k,A zebra standing on a dirt road next to a fence.,19255
21158,coco-30k,A person on skis skiing down a mountain slope.,8989
21159,coco-30k,The man runs through the field as he throws the frisbee.,51581
21160,coco-30k,"A store display filled with ripe, unripe bananas and other fruit.",12661
21161,coco-30k,A boy jumping his skateboard over a tilted iron post.,89506
21162,coco-30k,A skater prepares to drop in from the top of a ramp.,19431
21163,coco-30k,A group of man riding a skateboard down a street.,17962
21164,coco-30k,A man in an inflatable sumo suit walking by with a snowboard.,66161
21165,coco-30k,A man skateboards on the rim of a skate pipe in front of a crowd. ,31200
21166,coco-30k,A herd of zebras standing together in a plain.,60250
21167,coco-30k,some people are walking up a trail and some are on horses,90069
21168,coco-30k,A baseball player pitching a ball on a field.,93492
21169,coco-30k,A man jumping through the air catching a frisbee.,71398
21170,coco-30k,A green white with a sandwich on top of it.,15583
21171,coco-30k,A  young man tossing a white frisbee.,58535
21172,coco-30k,A skier pauses at a fork in a forest trail covered in snow.,57086
21173,coco-30k,A monkey is sitting on the ground eating a banana.,14382
21174,coco-30k,A young person riding a skateboard up the side of a ramp.,68469
21175,coco-30k,Two young boys eating carrots while sitting on a bed.,6386
21176,coco-30k,Racks of assorted food at a fruit stand,61730
21177,coco-30k,Two bananas sitting on a floor next to a pile of pennies.,50627
21178,coco-30k,"A white plate topped with fish, vegetables and a fork.",3249
21179,coco-30k,A sandwich in a paper container on top of a wooden table.,43398
21180,coco-30k,This skateboarder is riding the cityscape at night when traffic is minimal.,69628
21181,coco-30k,a man riding skis down a snow covered mountain.,40140
21182,coco-30k,an upclose photo of a cake with chocolate pieces,21469
21183,coco-30k,A DAD IS WITH HIS SON HAVING FUN,40419
21184,coco-30k,A baseball player kneeling to speak to a child,15696
21185,coco-30k,A BOY IS LOOKING AT THE VEGETABLE STAND ,22236
21186,coco-30k,Two zebras stand outside in front of some tall grass.,50537
21187,coco-30k,A group of horse back riders on a wooded trail.,93319
21188,coco-30k,A pizza is loaded with broccoli and chicken.,31368
21189,coco-30k,A little girl wearing pajamas is riding on a skateboard.,93907
21190,coco-30k,an image  of a man doing tricks with a frisbee,23167
21191,coco-30k,an image of zebras playing in the snow,7994
21192,coco-30k,an image of  boy on a skateboard doing tricks,90517
21193,coco-30k,Two skiers prepare to make their way past an embankment,35281
21194,coco-30k,Three zebra stand close together in tall grass.,23957
21195,coco-30k,A husky dog has an orange frisbee in it's mouth.,24109
21196,coco-30k,Two horses grazing on grass in the mountains.,28081
21197,coco-30k,"A dog is carrying a blue round Frisbee in his mouth as he walks across the grass.
",13922
21198,coco-30k,Black and white photograph of battle reenactment with men on horses,83150
21199,coco-30k,Two zebras graze on grass inside of an enclosure. ,65755
21200,coco-30k,Two young girls riding on a horse together with an older girl walking next to the horse.,40408
21201,coco-30k,A man loosing his skateboard from the back.,31094
21202,coco-30k,A mug sitting on a warmer next to a mouse. ,38690
21203,coco-30k,Two mean in uniform are riding horses side by side on a sandy beach.,53904
21204,coco-30k,A man riding a brown horse at a rodeo.,7817
21205,coco-30k,A man kneeling down over piles of bananas.,26828
